The Article
{This Article}
{That Article}
{the Article}
{is AuxiliaryVerb}
{be Auxiliaryverb}
{have Auxiliaryverb}
{do Auxiliaryverb}
{can Auxiliaryverb}
{could Auxiliaryverb}
{may Auxiliaryverb}
{might Auxiliaryverb}
{will Auxiliaryverb}
{would Auxiliaryverb}
{shall Auxiliaryverb}
{should Auxiliaryverb}
{must Auxiliaryverb}
{dare Auxiliaryverb}
{need Auxiliaryverb}
{ought Auxiliaryverb}
{used Auxiliaryverb}
{about Preposition}
{above Preposition}
{across Preposition}
{after Preposition}
{against Preposition}
{along Preposition}
{among Preposition}
{around Preposition}
{as Preposition}
{at Preposition}
{before Preposition}
{behind Preposition}
{below Preposition}
{beneath Preposition}
{beside Preposition}
{between Preposition}
{beyond Preposition}
{but Preposition}
{by Preposition}
{concerning Preposition}
{despite Preposition}
{down Preposition}
{during Preposition}
{except Preposition}
{for Preposition}
{from Preposition}
{in Preposition}
{inside Preposition}
{into Preposition}
{like Preposition}
{near Preposition}
{of Preposition}
{off Preposition}
{on Preposition}
{onto Preposition}
{out Preposition}
{outside Preposition}
{over Preposition}
{past Preposition}
{regarding Preposition}
{round Preposition}
{since Preposition}
{through Preposition}
{throughout Preposition}
{to Preposition}
{toward Preposition}
{under Preposition}
{underneath Preposition}
{unlike Preposition}
{until Preposition}
{up Preposition}
{upon Preposition}
{with Preposition}
{within Preposition}
{without Preposition}
{accept Verb}
{achieve Verb}
{act Verb}
{add Verb}
{adjust Verb}
{admire Verb}
{admit Verb}
{adopt Verb}
{advance Verb}
{advertise Verb}
{advise Verb}
{afford Verb}
{agree Verb}
{allow Verb}
{analyze Verb}
{announce Verb}
{answer Verb}
{apologize Verb}
{appear Verb}
{apply Verb}
{appreciate Verb}
{approve Verb}
{argue Verb}
{arise Verb}
{arrange Verb}
{arrive Verb}
{ask Verb}
{assess Verb}
{assign Verb}
{assist Verb}
{associate Verb}
{assume Verb}
{attach Verb}
{attempt Verb}
{attend Verb}
{attract Verb}
{avoid Verb}
{awake Verb}
{bake Verb}
{balance Verb}
{ban Verb}
{base Verb}
{bathe Verb}
{be Verb}
{beam Verb}
{bear Verb}
{beat Verb}
{become Verb}
{begin Verb}
{behave Verb}
{believe Verb}
{belong Verb}
{bend Verb}
{bet Verb}
{bind Verb}
{bite Verb}
{blow Verb}
{boil Verb}
{break Verb}
{breed Verb}
{bring Verb}
{broadcast Verb}
{build Verb}
{burn Verb}
{burst Verb}
{bury Verb}
{buy Verb}
{calculate Verb}
{call Verb}
{care Verb}
{carry Verb}
{catch Verb}
{cause Verb}
{celebrate Verb}
{center Verb}
{challenge Verb}
